('13455888', 5256.649741743226)
('1184351', 2533.5317247703906)
('4695850', 2283.7315544590756)
('5051368', 2047.450578511314)
('1384888', 1743.7307898225508)
('6113490', 1722.5257876962294)
('2437837', 1640.9532759339147)
('13425865', 1564.7981623286867)
('4196067', 1553.0188503688169)
('6076759', 1427.6294562250018)
('14112583', 1341.007484523552)
('7576704', 1206.2082641058364)
('1516699', 1194.489407120785)
('6237129', 1180.332466044496)
('6416278', 1125.873826178823)
('10390714', 1110.7744724321356)
('12836211', 1041.035791481468)
('7990491', 1033.7023751800932)
('7902219', 1032.701284685564)
('3191491', 996.0998490720349)
('15164193', 995.5500914721615)
('14881689', 991.6725890180995)
('4198751', 958.4291667357819)
('9386580', 938.7189155774274)
('3603527', 932.3117021978599)
('9276255', 923.323788212817)
('2797855', 912.8934923264096)
('3069099', 909.7546395212813)
('13725487', 885.3043140789097)
('11253108', 870.1731612779844)
('12074312', 865.3350587373476)
('10469541', 858.0173307453684)
('5154210', 841.6345373774475)
('2155467', 838.558084738416)
('1441065', 833.0229459181893)
('14503460', 807.5277656176323)
('2396749', 761.9111475616471)
('9355455', 710.7386153490683)
('2614581', 697.5633622604828)
('981395', 696.5819751644095)
('12430985', 693.136840472271)
('9391762', 680.8727382990359)
('11147327', 679.0532108646654)
('8697871', 667.9516375309328)
('14112408', 650.6529194639776)
('11582765', 631.373878566427)
('994890', 627.8967249721813)
('7835160', 615.4396347480955)
('2614578', 614.7379910304671)
('12067030', 589.4916084740801)
('9562547', 578.4403644781446)
('9997298', 576.588722462238)
('9394907', 571.1491629134971)
('8019937', 563.7667981350417)
('4978429', 554.6638687754336)
('13432150', 538.3777290459973)
('12447593', 536.6623731681533)
('10345830', 534.6888231264619)
('13280859', 532.8230285313134)
('4344962', 518.665944182169)
('6172466', 513.8729842420078)
('12038331', 506.3711368727135)
('14565507', 499.5839184427745)
('1523975', 485.7403857425307)
('1175360', 479.6601988690712)
('14963657', 472.80338817163675)
('4624519', 466.88800115831344)
('1575979', 464.00608153011007)
('2578813', 461.49959596420626)
('10399499', 461.31537283976905)
('13328060', 457.08355723147116)
('1813634', 456.1032179411047)
('2778099', 454.1396465227262)
('2826544', 441.9900425955398)
('1332806', 437.06063212487976)
('13853369', 436.708615759364)
('9742161', 422.68757418829034)
('15070394', 415.18840975166313)
('12785678', 414.48375889101027)
('14709489', 406.84317246759485)
('3591832', 401.825548784192)
('3577363', 401.65578771265353)
('5274313', 401.02528373196685)
('4568647', 398.8055575265027)
('7467127', 398.50885239391016)
('10246542', 397.2047690979028)
('9924814', 395.1644970158236)
('1797655', 392.38524216133084)
('13433669', 392.34521872388717)
('12685893', 391.9336214693925)
('8641167', 391.82375390319294)
('9390959', 391.75517007287937)
('14727077', 391.5497995998543)
('10917716', 391.35099759443216)
('1062600', 379.41412084349093)
('10447338', 372.9551467229068)
('5908108', 372.41093125608944)
('4783981', 368.2528550691566)
('12048800', 366.78484720252294)
('4320007', 361.156321361945)
