(13455888,6247.506024573359)
(1184351,2846.9239936690774)
(4695850,2734.3306529751217)
(5051368,2456.8690847021826)
(1384888,1924.07262049478)
(2437837,1909.3118817484824)
(6113490,1900.6011792429713)
(7902219,1897.3801181944984)
(13425865,1851.4863730468433)
(6076759,1828.2567185349128)
(4196067,1809.914760254319)
(6172466,1700.525894311812)
(14112583,1647.7788280747357)
(10390714,1550.2349427044685)
(15164193,1468.680526578083)
(3191491,1445.0087716185074)
(6416278,1407.2675782117685)
(6237129,1406.3033212656317)
(7835160,1394.364547863674)
(1516699,1389.7014526616838)
(13725487,1336.5749171352738)
(9276255,1323.2682407595576)
(7576704,1316.477579704723)
(10469541,1295.702149575017)
(5154210,1271.881837081597)
(12836211,1222.6810257948173)
(7990491,1212.3476235121102)
(4198751,1150.0819196767497)
(2797855,1128.5407354170432)
(11253108,1115.5914090454469)
(9386580,1101.54036467442)
(3603527,1089.8847955437075)
(12074312,1073.0055894537204)
(3069099,1062.9753781027148)
(14881689,1048.8204189369008)
(2155467,1046.0664468313735)
(1441065,1020.1131967433653)
(14503460,997.268930792686)
(2396749,943.1027348398742)
(3191268,918.8371000766783)
(10566120,917.0806808315051)
(2614581,902.7978793582945)
(11147327,902.7291225667041)
(1637982,884.9663884185132)
(12430985,869.0244403086707)
(11245362,865.7235761614596)
(9355455,842.1463455847475)
(10527224,818.1082641195126)
(14112408,815.5133023714312)
(9391762,804.3479295841385)
(2614578,803.7090739326843)
(8697871,799.5276839024381)
(6172167,798.1970460810702)
(981395,791.7693925382322)
(6171937,764.0717287008073)
(5490435,762.2068787106191)
(11582765,740.9870553474699)
(14725161,724.465856433301)
(12067030,716.6366031078701)
(9562547,714.7674286314765)
(994890,707.009909546581)
(9997298,686.9037939065734)
(9394907,686.1650637318509)
(13280859,679.6812425861694)
(10345830,673.7457036064286)
(4978429,663.716385871631)
(12447593,662.2563506255318)
(8019937,655.2460685311344)
(11148415,636.1993170308622)
(13432150,632.0215625675951)
(4344962,628.8319915091494)
(1175360,606.3190625885978)
(12038331,603.9904216300306)
(14565507,594.4471840688325)
(4624519,588.3768206317159)
(1523975,582.3913800258493)
(14981725,576.6186885870579)
(13328060,575.9648482593649)
(1332806,558.6544875127522)
(10399499,556.572896654331)
(14963657,555.8525520585323)
(2578813,548.9039828609114)
(2826544,548.0166127661012)
(1575979,544.2502175208446)
(1813634,543.5238421616273)
(2778099,530.5083061607136)
(13853369,516.9478660416212)
(9924814,513.9816055259572)
(4568647,494.9036421973504)
(12785678,489.4683647682877)
(7467127,489.32208109082865)
(9742161,488.58837267809525)
(3328327,485.5618862689595)
(10246542,484.15832608377355)
(3591832,484.0320134799048)
(5274313,483.8483237320707)
(14727077,482.6437575356403)
(14709489,480.5293792888546)
(5908108,479.54886182093753)
(3973000,479.2627118417772)
